Termo;Setor/Área;Explicação Simples;Setor Econômico
ROI de Ativos;Indústria de Papel;Retorno sobre o investimento em maquinário de grande porte (Ex: Máquina Voith/Valmet).;Secundário
ROI de Tecnologia Agro;Agricultura;Retorno sobre investimento em softwares, sensores ou novos maquinários.;Primário
ROI de Treinamento;Recursos Humanos;Melhoria de performance após uma capacitação específica.;Terciário
ROIC;Bolsa de Valores;Retorno sobre o capital investido, medindo a eficiência na alocação de capital.;Terciário
ROIC (Retorno sobre Capital Investido);Varejo;Métrica de rentabilidade que mede o retorno gerado sobre o capital total alocado.;Terciário
Rol de Procedimentos ANS;Saúde;Lista de coberturas obrigatórias para os planos de saúde.;Terciário
Rollback Rate;Tecnologia;Frequência com que novas atualizações precisam de ser revertidas por falhas.;Terciário
Rolling Forecast;Financeiro;Projeção financeira contínua que se atualiza periodicamente (ex: mensalmente).;Terciário
Roll-over;Comercial e Vendas;Transferência de metas ou negociações não concluídas para o próximo mês.;Terciário
Rotação de Culturas;Agricultura;Indicador de sustentabilidade e saúde do solo (ex: Soja -> Milho -> Pasto).;Primário
Roteirização;Logística;Planejamento das melhores rotas para reduzir quilometragem e tempo de entrega.;Terciário
Roubo de Carga;Segurança Pública;Indicador crítico para o setor logístico e econômico da região.;Terciário
RSI (IFR - Índice de Força Relativa);Bolsa de Valores;Indicador de momentum que mede a velocidade das mudanças de preço.;Terciário
Rule of 40;Startups;"Soma da taxa de crescimento e margem de lucro; deve ser > 40% para ser saudável.";Terciário (Majoritariamente)
Run Rate;Vendas;Projeção do resultado anual com base no desempenho do mês atual.;Terciário
Runway;Startups;Tempo (em meses) que a startup tem de vida com o caixa atual e o burn rate.;Terciário (Majoritariamente)
ruptura de Gôndola;Varejo;Quando o produto está no estoque da loja, mas não está exposto para o cliente.;Terciário
Ruptura de Gôndola;Logística;Falta do produto no ponto de venda final (indicador de falha na cadeia).;Terciário
S&OP (Sales and Operations Planning);Logística;Processo de planejamento para alinhar demanda de vendas com capacidade logística.;Terciário
S&OP (Sales and Operations Planning);Supply Chain;Processo mensal de alinhamento entre vendas, produção e finanças.;Terciário
SaaS (Software as a Service);Tecnologia;Modelo de entrega de software por assinatura via nuvem.;Terciário
SaaS (Software as a Service);Tecnologia;Modelo de distribuição de software baseado em subscrição e nuvem.;Terciário
Safety Stock (Estoque de Segurança);Supply Chain;Nível extra de estoque mantido para mitigar riscos de variação na demanda ou atraso de fornecedores.;Terciário
Safety Stock (Estoque de Segurança);Automobilístico;Nível de reserva para evitar paradas de linha por falta de peças.;Secundário
Safra e Safrinha;Agricultura;Dimensões temporais para comparação de ciclos produtivos anuais.;Primário
Saldo de Empregos (CAGED);Governo;Diferença entre admissões e demissões formais no período.;Terciário
Sale-Leaseback;Imobiliário;Operação onde o dono vende o imóvel e o aluga de volta imediatamente.;Terciário
Sales Cycle (Ciclo de Vendas);Comercial;Tempo médio entre o primeiro contato e o fechamento do negócio.;Terciário
Sales Cycle Time;Startups;Tempo médio entre o primeiro contato e o fechamento do contrato.;Terciário (Majoritariamente)
Sales Deck;Comercial;Apresentação visual utilizada durante a reunião de vendas.;Terciário
Sales Enablement;Comercial;Processo de fornecer ferramentas e conteúdo para o time vender mais.;Terciário
Sales Pitch;Comercial;Argumentação de venda rápida e persuasiva.;Terciário
Sales Process;Comercial;Conjunto de etapas repetíveis para converter um lead em cliente.;Terciário
Sales Velocity;Startups;Velocidade com que o dinheiro entra no funil: (Oportunidades x Deal Size x Win Rate) / Sales Cycle.;Terciário (Majoritariamente)
Sales Velocity per Broker;Imobiliário;Ranking de desempenho por corretor ou imobiliária parceira.;Terciário
Sales-Led Growth (SLG);Startups;Crescimento impulsionado principalmente pelo time de vendas diretas.;Terciário (Majoritariamente)
Salvados e Ressarcimentos;Seguros;Recuperação de valores através da venda de bens recuperados ou cobrança de terceiros culpados.;Terciário
SAM (Serviceable Addressable Market);Startups;Fatia do mercado que o modelo de negócio da startup consegue atingir.;Terciário (Majoritariamente)
SAM (Serviceable Addressable Market);Comercial;Parte do mercado que pode ser atendida pelo modelo de negócio atual.;Terciário
Same Store Sales (SSS);Varejo;Comparação de vendas de lojas abertas há pelo menos um ano, isolando o crescimento orgânico.;Terciário
Sand Production Rate;Petróleo;Monitoramento de areia na produção, que pode causar erosão em equipamentos.;Primário (Extração) / Secundário (Refino)
Saneamento Básico (% de Cobertura);Governo;Indicador de infraestrutura e saúde pública.;Terciário
SARS-CoV-2 / Pandemias;Saúde;Variáveis críticas para modelos de BI de surtos e ocupação respiratória.;Terciário
Saturação de Óleo;Petróleo;Percentual de porosidade da rocha ocupado por hidrocarbonetos.;Primário (Extração) / Secundário (Refino)
Sazonalidade;Varejo;Variações previsíveis nas vendas em períodos específicos do ano.;Terciário
Scalability (Escalabilidade);Tecnologia;Capacidade de um sistema crescer para lidar com o aumento de procura.;Terciário
Scalability Index;Startups;Capacidade do sistema de suportar aumento de carga sem queda de performance.;Terciário (Majoritariamente)
Score de Crédito;Mercado Financeiro;Pontuação estatística que indica o risco de inadimplência de um CPF ou CNPJ.;Terciário
Scrap Rate;Automobilístico;"Taxa de refugo; desperdício de materiais que não podem ser recuperados.";Secundário
Scrap Rate (Refugo);Indústria de Papel;Percentual de papel produzido que não atende aos requisitos e volta para a reciclagem.;Secundário
Screen Views per Session;Tecnologia;Número de ecrãs/páginas que um utilizador vê por cada vez que usa a app.;Terciário
SDA (Segmented Data Analysis);Mercado Financeiro;Análise de performance dividida por segmentos (Varejo, Alta Renda, Corporate).;Terciário
SDR (Sales Development Rep);Comercial e Vendas;Profissional focado apenas na prospecção e qualificação de leads.;Terciário
SDR (Sales Development Representative);Vendas;Profissional focado na prospecção e qualificação inicial de leads.;Terciário
SDR (Sales Development Representative);Comercial;Profissional focado em prospecção e qualificação de leads.;Terciário
Seed Round;Startups;Rodada de investimento inicial para validar o PMF e MVP.;Terciário (Majoritariamente)
Segment Share;Automobilístico;Participação da marca em nichos específicos (ex: SUVs, Picapes).;Secundário
Segmentação por Canal;Seguros;Análise de performance separada por corretores, bancos (bancassurance) ou digital.;Terciário
Self-Service BI;BI Geral;Permitir que usuários finais criem seus próprios relatórios.;Terciário
Self-Service BI;Mercado Financeiro;Capacidade de gestores financeiros criarem seus próprios relatórios sem depender de TI.;Terciário
Self-Service BI;Startups;Capacidade de times não-técnicos consultarem dados sem ajuda da engenharia.;Terciário (Majoritariamente)
Self-Service Rate;Bancário/Fintech;Percentual de problemas resolvidos pelo cliente sozinho no app/IA.;Terciário
Sell-in;Varejo;Venda do fabricante ou distribuidor para o varejista.;Terciário
Sell-In;Comercial e Vendas;Venda da indústria para o canal de distribuição ou varejo.;Terciário
Sell-in;Vendas;Venda da indústria para o canal de distribuição ou varejo.;Terciário
Sell-in;Comercial;Venda da indústria para o canal de distribuição/varejo.;Terciário
Sell-out;Varejo;Venda do varejista diretamente para o consumidor final.;Terciário
Sell-Out;Comercial e Vendas;Venda do varejo/distribuidor para o consumidor final.;Terciário
Sell-out;Vendas;Venda do canal de distribuição/varejo para o consumidor final.;Terciário
Sell-out;Comercial;Venda do varejo para o consumidor final.;Terciário
SEM (Search Engine Marketing);Marketing;Estratégias de marketing pagas em buscadores (Google Ads).;Terciário
SEO (Search Engine Optimization);Marketing;Otimização de sites para melhorar o ranking orgânico nos buscadores.;Terciário
Series A/B/C;Startups;Rodadas sucessivas de investimento para escala e expansão de mercado.;Terciário (Majoritariamente)
Serverless Computing;Tecnologia;Execução de código onde o fornecedor gere automaticamente os servidores.;Terciário
Service Level Agreement (SLA);Comercial e Vendas;Acordo de nível de serviço entre Marketing e Vendas (ex: tempo de resposta ao lead).;Terciário
Service Level Agreement (SLA);Vendas;Acordo de nível de serviço entre Marketing e Vendas (ex: tempo de resposta ao lead).;Terciário
Service Level Agreement (SLA);Automobilístico;Acordos de nível de serviço com fornecedores de logística ou TI.;Secundário
Service Level Indicator (SLI);Tecnologia;Métrica quantitativa de um nível de serviço (ex: taxa de sucesso).;Terciário
Service Level Objective (SLO);Tecnologia;Alvo numérico para um SLI (ex: taxa de sucesso deve ser > 99.5%).;Terciário
Service Retention Rate;Automobilístico;Percentual de clientes que continuam fazendo revisões na rede oficial após a garantia.;Secundário
Session Duration;Tecnologia;Tempo médio que um utilizador passa ativamente na plataforma.;Terciário
Settlement Time;Bancário/Fintech;Prazo para o lojista receber o valor da venda (D+1, D+30).;Terciário
Setup Time;Indústria de Papel;Tempo gasto para trocar o tipo de papel ou a configuração da bobina na máquina.;Secundário
Severidade de Infestação;Agricultura;Nível de pressão de pragas mapeado para tomada de decisão de pulverização.;Primário
Severidade Média;Seguros;Custo médio de cada sinistro ocorrido.;Terciário
SGA (Selling, General & Administrative);Financeiro;Despesas com vendas, gerais e administrativas.;Terciário
Shadow Economy (Economia Informal);Governo;Estimativa de transações não reportadas ao fisco.;Terciário
Share of Voice (SOV);Marketing;Participação da marca nas conversas ou publicidade do mercado.;Terciário
Share of Wallet;Indústria de Papel;Quanto das necessidades de embalagem do cliente são supridas pela empresa.;Secundário
Share of Wallet;Comercial e Vendas;Percentual do orçamento do cliente gasto com a sua empresa em relação ao total da categoria.;Terciário
Share of Wallet;Marketing;Percentual do gasto total do cliente naquela categoria que fica com sua marca.;Terciário
Share of Wallet;Vendas;Percentual do orçamento do cliente gasto com a sua empresa versus concorrentes.;Terciário
Share of Wallet (Corretores);Imobiliário;Quanto do esforço de um corretor autônomo é dedicado à sua marca.;Terciário
Sharpe Ratio;Bolsa de Valores;Métrica que avalia o retorno de um investimento ajustado ao seu risco.;Terciário
Shelf Life;Supply Chain;Vida útil de prateleira de um produto perecível.;Terciário
Shelf Life (Prazo de Validade);Varejo;Tempo de vida útil de um produto, crucial para o varejo alimentar.;Terciário
Ship-from-Store;Varejo;Usar o estoque da loja física para atender pedidos feitos no e-commerce.;Terciário
Ship-to-Promise;Logística;Capacidade de entregar na data prometida no ato da venda.;Terciário
Ship-to-Ship (STS) Transfer Time;Petróleo;Tempo de operação de transferência de carga entre navios em alto mar.;Primário (Extração) / Secundário (Refino)
Shopping Basket Analysis;Vendas;Análise de afinidade para descobrir quais produtos são comprados juntos.;Terciário
Short Position;Bolsa de Valores;Estratégia onde o investidor aposta na queda de um ativo (vendido).;Terciário
ShotSpotter (Detecção de Tiros);Segurança Pública;Sensores acústicos que geram alertas georreferenciados de disparos.;Terciário
Showroom Traffic;Automobilístico;Número de potenciais clientes que visitam fisicamente as lojas.;Secundário
Showrooming;Varejo;Comportamento do cliente de visitar a loja física para ver o produto e comprar online depois.;Terciário
Shrinkage (Quebra Técnica/Física);Varejo;Perda de inventário por furto, danos, erros administrativos ou validade.;Terciário
Shrinkage (Quebra);Pecuária;Perda de peso por estresse ou transporte.;Primário
SIAFI;Governo;Sistema principal de registro e controle da execução orçamentária federal.;Terciário
Sidecar;Bolsa de Valores;Mecanismo de proteção que impede negociações automáticas em alta volatilidade.;Terciário
Sincromodalidade;Supply Chain;Escolha dinâmica do melhor modal em tempo real baseada em dados.;Terciário
Single Sign-On (SSO);Tecnologia;Sistema de autenticação que permite aceder a múltiplos serviços com um só login.;Terciário
Sinistralidade (Loss Ratio);Seguros;Relação percentual entre o valor dos sinistros ocorridos e o prêmio ganho.;Terciário
Sinistralidade em Seguros;Imobiliário;Ocorrências cobertas por seguros de engenharia/garantia.;Terciário
Sinistro;Saúde;Cada vez que o beneficiário usa o plano de saúde (consulta, exame, cirurgia).;Terciário
Sinistro Avisado;Seguros;Comunicação formal do ocorrido pelo segurado à seguradora.;Terciário
Sinistro Liquidado;Seguros;Processo finalizado com o pagamento da indenização ou encerramento sem pagamento.;Terciário
Sinistros de Cauda Curta;Seguros;Ramos de liquidação rápida (ex: Vidros, Pequenas colisões de Auto).;Terciário
Sinistros de Cauda Longa;Seguros;Ramos onde o sinistro demora anos para ser totalmente liquidado (ex: RC Profissional).;Terciário
Sinistros por Vínculo;Seguros;Análise de sinistralidade cruzada entre o segurado e seu círculo de relacionamento.;Terciário
Sistemas de Alerta Antecipado;Segurança Pública;Alertas baseados em IA para indícios de desordem civil iminente.;Terciário
Sistemas de Business Intelligence (SBI);Governo;Ferramentas de suporte à decisão baseadas em evidências para gestores.;Terciário
Sistemas de Monitoramento (VMS);Segurança Pública;Integração de câmeras e sensores para análise de vídeo analítico em tempo real.;Terciário
SKD (Semi Knocked Down);Automobilístico;Veículos parcialmente montados enviados para finalização em outro local.;Secundário
Skill Gap Analysis;Recursos Humanos;Análise de dados sobre as competências atuais vs. necessárias.;Terciário
SKU (Stock Keeping Unit);Varejo;Código identificador único para cada variante de produto (cor, tamanho, modelo).;Terciário
SKU (Stock Keeping Unit);Comercial e Vendas;Código identificador único de cada variação de produto (cor, tamanho, etc).;Terciário
SKU (Stock Keeping Unit);Logística;"Unidade de manutenção de estoque; código identificador único de um produto.";Terciário
SKU (Stock Keeping Unit);Supply Chain;Código identificador único para cada variante de produto no inventário.;Terciário
SKU (Stock Keeping Unit);Vendas;Código identificador único para cada variante de produto.;Terciário
SKU (Stock Keeping Unit);Comercial;Código identificador único para cada variante de produto.;Terciário
SKU Rationalization;Supply Chain;Análise para eliminar SKUs de baixa performance e simplificar o portfólio.;Terciário
SKU Rationalization;Automobilístico;Análise para reduzir a complexidade de versões e opcionais de veículos.;Secundário
SLA (Service Level Agreement);TI/Operações;Acordo de nível de serviço entre duas partes.;Terciário
SLA (Service Level Agreement);Logística;Acordo de nível de serviço estabelecido entre embarcador e transportador.;Terciário
SLA (Service Level Agreement);Comercial;Acordo de nível de serviço entre marketing e vendas.;Terciário
SLA Compliance;Tecnologia;Percentagem de tempo em que a empresa cumpre os acordos de nível de serviço.;Terciário
SLA de Regulação;Seguros;Tempo médio para análise e liquidação de um sinistro após o aviso.;Terciário
Slippage;Mercado Financeiro;Diferença entre o preço esperado de uma operação e o preço executado.;Terciário
Slippage;Bolsa de Valores;Diferença entre o preço esperado de uma ordem e o preço de execução real.;Terciário
Slotted Stock;Logística;Otimização do posicionamento de produtos no armazém conforme o giro (Slotting).;Terciário
Slotting Optimization;Supply Chain;Organização inteligente dos endereços no armazém baseada no giro.;Terciário
Small Caps;Bolsa de Valores;Empresas com menor capitalização de mercado e alto potencial de crescimento.;Terciário
SMarketing;Marketing;Alinhamento estratégico entre as equipes de Sales (Vendas) e Marketing.;Terciário
Smarketing;Comercial;Alinhamento estratégico total entre Sales (Vendas) e Marketing.;Terciário
Smart Cities (Cidades Inteligentes);Governo;Uso de IoT e dados para otimizar serviços urbanos.;Terciário
Smart Home Adoption;Imobiliário;Percentual de unidades que utilizam tecnologias de automação.;Terciário
Sobra de Processo (Waste);Indústria de Papel;Perda inevitável de fibras durante o processo de polpação.;Secundário
Social Listening;Marketing;Monitoramento de conversas sociais sobre a marca ou indústria.;Terciário
Social Media Marketing;Marketing;Uso de redes sociais para promover a marca e produtos.;Terciário
Social Proof (Prova Social);Marketing;Uso de depoimentos e números para gerar confiança.;Terciário
Social Selling;Vendas;Uso de redes sociais para interagir, prospectar e gerar vendas.;Terciário
Social Selling;Comercial;Uso de redes sociais para encontrar e interagir com leads.;Terciário
Software Development Life Cycle (SDLC);Tecnologia;Processo estruturado de criação, teste e manutenção de software.;Terciário
Sólidos Totais;Pecuária;"Soma de proteína e gordura no leite; base de cálculo de BI para laticínios.";Primário
Solvência;Financeiro;Capacidade de longo prazo de cumprir obrigações financeiras.;Terciário
Solvency Ratio;Financeiro;Índice que mede a saúde financeira de longo prazo.;Terciário
SOM (Serviceable Obtainable Market);Startups;Mercado que a startup planeja capturar no curto/médio prazo.;Terciário (Majoritariamente)
SOM (Serviceable Obtainable Market);Comercial;Fatia de mercado que se espera capturar no curto prazo.;Terciário
Sortimento de Estoque;Logística;Variedade de SKUs mantidos para atender diferentes perfis de demanda.;Terciário
Sortimento de Produtos;Varejo;Variedade e profundidade de produtos oferecidos em uma categoria.;Terciário
SoS (Speed of Sales);Imobiliário;Velocidade de vendas, geralmente medida pela porcentagem de unidades vendidas no mês.;Terciário
Sourcing;Supply Chain;Processo de localização, avaliação e contratação de fornecedores.;Terciário
Sourcing Channel Efficiency;Recursos Humanos;Identificação de qual canal (LinkedIn, Indicação, Job boards) traz os melhores candidatos.;Terciário
Span of Control;Recursos Humanos;Número de subordinados diretos por gestor.;Terciário
SPD (Second Payment Default);Bancário/Fintech;Inadimplência que ocorre especificamente na segunda parcela.;Terciário
SPE (Sociedade de Propósito Específico);Imobiliário;Entidade jurídica criada exclusivamente para um empreendimento específico.;Terciário
Split (Desdobramento);Bolsa de Valores;Aumento do número de ações sem alterar o valor total investido (reduz o preço unitário).;Terciário
Spot Price vs Contract Price;Petróleo;Análise de variação entre preços de oportunidade e preços contratuais.;Primário (Extração) / Secundário (Refino)
Spread Bancário;Financeiro;Diferença entre a taxa que o banco paga ao captar e a que cobra ao emprestar.;Terciário
Spread Bancário;Mercado Financeiro;Diferença entre a taxa que o banco cobra ao emprestar e a taxa que paga para captar.;Terciário
Spread Bancário;Macroeconomia;Diferença entre a taxa que o banco paga ao captar e a que cobra ao emprestar.;Terciário (Serviços/Administração)
Spread Bancário;Bancário/Fintech;Diferença entre a taxa de juros que o banco cobra ao emprestar e a que paga ao captar.;Terciário
Spread de Bid/Ask;Bolsa de Valores;Diferença entre o melhor preço de venda e o melhor preço de compra.;Terciário
Spread de Crédito;Mercado Financeiro;Diferença entre o rendimento de um título público e um título privado de mesmo prazo.;Terciário
Sprint Velocity;Tecnologia;Quantidade de trabalho que uma equipa consegue entregar num ciclo ágil.;Terciário
SQL (Sales Qualified Lead);Comercial e Vendas;Leads que foram validados por vendas e possuem intenção real de compra.;Terciário
SQL (Sales Qualified Lead);Marketing;Lead avaliado por vendas como pronto para uma abordagem comercial.;Terciário
SQL (Sales Qualified Lead);Vendas;Lead que foi validado pelo time comercial e tornou-se uma oportunidade real.;Terciário
SQL (Sales Qualified Lead);Startups;Lead validado pelo time de vendas como pronto para uma abordagem comercial.;Terciário (Majoritariamente)
SQL (Sales Qualified Lead);Comercial;Lead validado por vendas pronto para uma abordagem direta.;Terciário
SQL (Structured Query Language);BI Técnico;Linguagem padrão para gerenciar bancos de dados relacionais.;Terciário
Staffing Ratio;Saúde;Proporção de profissionais de saúde (ex: enfermeiros) por paciente.;Terciário
Stand de Plantas Desejado vs. Real;Agricultura;Análise de perda de eficiência no processo de plantio.;Primário
Stand de Vendas;Imobiliário;Ponto de conversão física (custo operacional de marketing).;Terciário
State of Charge (SoC);Automobilístico;Nível de carga da bateria, monitorado para análise de performance energética.;Secundário
Stickiness (DAU/MAU);Startups;"Engajamento do produto; quanto maior o ratio, mais ""viciante"" é a solução.";Terciário (Majoritariamente)
Sticky Content;Marketing;Conteúdo desenhado para manter o usuário o maior tempo possível no site.;Terciário
Stiffness (Rigidez);Indústria de Papel;Capacidade do papel/cartão de resistir à flexão.;Secundário
Stock Cover (Cobertura de Estoque);Comercial e Vendas;Tempo estimado em dias que o estoque atual durará com base na média de vendas.;Terciário
Stockout (Ruptura de Estoque);Varejo/Indústria;Falta de produto para atender a demanda do cliente.;Terciário / Secundário
Stockout (Ruptura de Estoque);Logística;Falta de produto em estoque no momento da demanda do cliente.;Terciário
Stockout (Ruptura);Supply Chain;Falta de produto em estoque no momento da demanda do cliente.;Terciário
Stop Gain;Bolsa de Valores;Ordem automática de venda para garantir lucros quando o alvo é atingido.;Terciário
Stop Loss;Bolsa de Valores;Ordem automática de venda para limitar perdas em uma operação.;Terciário
Storage Capacity;Tecnologia;Volume total de dados que podem ser armazenados no sistema.;Terciário
Strategic Sourcing;Supply Chain;Abordagem sistêmica para otimizar a base de suprimentos e custos de longo prazo.;Terciário
Stress Test;Financeiro;Simulação de cenários econômicos extremos para avaliar a resiliência do caixa.;Terciário
Stress Test;Mercado Financeiro;Simulação de cenários extremos para avaliar a resiliência de uma carteira ou banco.;Terciário
Sub-rogação;Seguros;Direito da seguradora de cobrar o terceiro culpado após indenizar o segurado.;Terciário
Subsea Integrity;Petróleo;Status de corrosão e funcionamento de equipamentos submarinos.;Primário (Extração) / Secundário (Refino)
Sucessão (Succession Pipeline);Recursos Humanos;Análise de prontidão de herdeiros para cargos chave.;Terciário
Superávit Primário;Governo;Resultado positivo das contas públicas antes do pagamento de juros.;Terciário
Superávit Primário;Macroeconomia;Economia feita pelo governo para pagar juros da dívida pública.;Terciário (Serviços/Administração)
Suplementação de Seca;Pecuária;Aumento de custo sazonal para manter o peso no período sem chuvas.;Primário
Suplementação Mineral;Pecuária;Custo e consumo de minerais para ganho de peso residual.;Primário
Supply Chain Visibility;Automobilístico;Capacidade de rastrear componentes em tempo real em toda a cadeia.;Secundário
Swap Cambial;Macroeconomia;Operação do Banco Central para prover proteção cambial ou liquidez ao mercado.;Terciário (Serviços/Administração)
Swing Trade;Bolsa de Valores;Operações que duram de alguns dias a algumas semanas.;Terciário
Tabela SUS;Saúde;Lista de valores que o governo paga aos prestadores por serviços públicos.;Terciário
Tabelas Atuariais;Seguros;Bases estatísticas de mortalidade ou probabilidade usadas em BI de vida.;Terciário
Tag Along;Bolsa de Valores;Direito de acionistas minoritários de venderem suas ações em caso de venda do controle.;Terciário
Take Rate;Varejo;Taxa cobrada por marketplaces sobre as vendas de lojistas parceiros.;Terciário
Take Rate;Comercial e Vendas;Taxa de comissão cobrada por plataformas ou marketplaces sobre o GMV.;Terciário
Take Rate;Financeiro;Comissão cobrada por plataformas ou marketplaces sobre o volume transacionado.;Terciário
Take Rate;Vendas;Comissão ou taxa que uma plataforma cobra por transação realizada.;Terciário
Take Rate;Startups;Percentual de comissão que um marketplace retém sobre as transações (GMV).;Terciário (Majoritariamente)
Take Rate;Bancário/Fintech;Porcentagem de comissão que a fintech retém sobre o volume transacionado (comum em pagamentos).;Terciário
Take Rate;Automobilístico;Percentual de escolha de um opcional ou versão específica pelo mercado.;Secundário
Take-or-Pay (Logística);Agricultura;Cláusula contratual de frete ou armazenagem que exige pagamento mesmo sem uso.;Primário
Takt Time;Automobilístico;Ritmo de produção necessário para atender à demanda do cliente.;Secundário
Talhão (Plot/Field);Agricultura;Menor unidade de gestão geográfica e analítica da fazenda.;Primário
TAM (Total Addressable Market);Vendas;Demanda total de mercado para um produto ou serviço.;Terciário
TAM (Total Addressable Market);Startups;Tamanho total do mercado potencial se não houvesse concorrência.;Terciário (Majoritariamente)
TAM (Total Addressable Market);Comercial;Mercado total disponível para um produto ou serviço.;Terciário
Target Audience (Público-Alvo);Marketing;Segmento específico de consumidores que a marca deseja atingir.;Terciário
Target Inflation (Meta de Inflação);Macroeconomia;Objetivo de inflação definido pelo Conselho Monetário Nacional (CMN).;Terciário (Serviços/Administração)
Taxa de Abandono de Carrinho;Marketing;Percentual de usuários que iniciam a compra, mas não finalizam.;Terciário
Taxa de Abertura (Open Rate);Marketing;Percentual de pessoas que abriram um e-mail marketing enviado.;Terciário
Taxa de Aborto;Pecuária;Indicador sanitário que mede falhas na gestão reprodutiva.;Primário
Taxa de Aceite de Oferta;Recursos Humanos;Percentual de ofertas aceitas em relação ao total de propostas enviadas.;Terciário
Taxa de Acidentes (LTIFR);Indústria de Papel;Frequência de acidentes com afastamento, vital para compliance industrial.;Secundário
Taxa de Adesão ao Treinamento;Recursos Humanos;Porcentagem de funcionários que concluíram cursos oferecidos.;Terciário
Taxa de Aprovação de Crédito;Imobiliário;Percentual de potenciais compradores que conseguem financiamento bancário.;Terciário
Taxa de Ativação;Produto/SaaS;Percentual de novos usuários que realizam uma ação chave.;Terciário
Taxa de Ativação;Vendas;Percentual de novos clientes que realizam a primeira compra ou uso.;Terciário
Taxa de Ativação;Mercado Financeiro;Percentual de cartões ou contas emitidas que realizaram a primeira transação.;Terciário
Taxa de Cancelamento de Proposta;Imobiliário;Métrica de atrito entre o interesse inicial e o fechamento contratual.;Terciário
Taxa de Cancelamento por Inadimplência;Seguros;Quebra de contrato devido à falta de pagamento de parcelas.;Terciário
Taxa de Clique para Abertura (CTOR);Marketing;Cliques únicos divididos por aberturas únicas de e-mail.;Terciário
Taxa de Coleta de Lixo;Governo;Indicador de cobertura de serviços de limpeza urbana.;Terciário
Taxa de Congestionamento Judiciário;Governo;Mede o percentual de processos que não foram baixados no ano.;Terciário
Taxa de Conversão;Varejo;Percentual de visitantes (físicos ou online) que efetivamente realizam uma compra.;Terciário
Taxa de Conversão;Mercado Financeiro;Percentual de leads que efetivamente abrem conta ou contratam um produto.;Terciário
Taxa de Conversão;Comercial;Relação entre o número de vendas e o total de oportunidades/contatos.;Terciário
Taxa de Conversão (CR);Marketing;Percentual de usuários que realizam a ação desejada (compra, cadastro).;Terciário
Taxa de Conversão Alimentar;Agricultura;(Pecuária) Kg de ração consumida para gerar 1kg de peso vivo.;Primário
Taxa de Conversão de Caixa;Financeiro;Tempo que leva para o investimento em estoque se transformar em dinheiro no caixa.;Terciário
Taxa de Conversão de Cotações;Seguros;Percentual de cálculos/cotações que efetivamente viraram apólices emitidas.;Terciário
Taxa de Conversão de Estagiários;Recursos Humanos;Percentual de estagiários efetivados.;Terciário
Taxa de Conversão de Flagrantes;Segurança Pública;Percentual de prisões em flagrante mantidas em audiência de custódia.;Terciário
Taxa de Conversão de Funil;Imobiliário;Proporção entre leads gerados, visitas ao decorado e propostas aceitas.;Terciário
Taxa de Conversão de Orçamentos;Indústria de Papel;Pedidos fechados vs Orçamentos de embalagens customizadas emitidos.;Secundário
Taxa de Conversão de Pronto Atendimento;Saúde;Percentual de pacientes que passam pelo P.A. e acabam sendo internados.;Terciário
Taxa de Cumprimento do Plano de Produção;Indústria de Papel;Produção real vs Produção programada no PCP.;Secundário
Taxa de Declínio (Decline Rate);Petróleo;Velocidade com que a produção de um poço diminui ao longo do tempo.;Primário (Extração) / Secundário (Refino)
Taxa de Descarte;Pecuária;Percentual de animais retirados do rebanho por idade ou baixa performance.;Primário
Taxa de Desemprego (PNAD);Governo;Indicador econômico monitorado para políticas de emprego e renda.;Terciário
Taxa de Desemprego (PNAD);Macroeconomia;Percentual da força de trabalho que está desempregada e procurando trabalho.;Terciário (Serviços/Administração)
Taxa de Desfrute;Pecuária;Percentual de cabeças vendidas em relação ao estoque total do rebanho.;Primário
Taxa de Desmame;Pecuária;Percentual de bezerros desmamados em relação ao número de vacas expostas.;Primário
Taxa de Elucidação;Segurança Pública;Percentual de inquéritos concluídos com autoria definida em relação ao total instaurado.;Terciário
Taxa de Engajamento;Marketing;Interações (curtidas, comentários) em relação ao alcance ou seguidores.;Terciário
Taxa de Evasão Escolar;Governo;KPI social que mede o abandono de estudantes no sistema de ensino.;Terciário
Taxa de Extração;Pecuária;Relação entre o número de animais vendidos e o total do rebanho.;Primário
Taxa de Germinação;Agricultura;"Percentual de sementes que efetivamente emergem; KPI de qualidade de fornecedor.";Primário
Taxa de Inadimplência;Seguros;Percentual de parcelas de prêmio não pagas pelos segurados.;Terciário
Taxa de Inadimplência Média;Financeiro;Média ponderada de atrasos em uma carteira de crédito.;Terciário
Taxa de Infiltração de Água;Agricultura;Métrica de saúde física do solo e controle de erosão.;Primário
Taxa de Inovação;Indústria de Papel;Receita vinda de novos produtos lançados nos últimos 2 anos.;Secundário
Taxa de Investimento (Formação Bruta de Capital Fixo);Macroeconomia;Percentual do PIB destinado ao aumento da capacidade produtiva.;Terciário (Serviços/Administração)
Taxa de Letalidade de Policiais;Segurança Pública;Número de agentes mortos em serviço ou em razão dele.;Terciário
Taxa de Letalidade Policial;Governo;Indicador de segurança pública sobre mortes em intervenções.;Terciário
Taxa de Lotação Crítica;Pecuária;Limite máximo de animais que o pasto suporta sem degradação.;Primário
Taxa de Natalidade;Pecuária;Número de bezerros nascidos vivos em relação ao total de matrizes.;Primário
Taxa de Ocupação de Carga;Indústria de Papel;Volume cúbico utilizado vs capacidade do modal de transporte.;Secundário
